Signal,Id,Type,DataType,Complex,Unit,Min,Max,Desc,Enum,Sensor,Actuator,instances
Vehicle.Cabin.Seat.Switch.Cooler.Row1.Pos1,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row1.Pos2,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row1.Pos3,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row1.Pos4,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row1.Pos5,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row2,"","actuator","boolean","True","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row2.Pos1,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row2.Pos2,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row2.Pos3,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row2.Pos4,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row2.Pos5,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row3,"","actuator","boolean","True","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row3.Pos1,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row3.Pos2,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row3.Pos3,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row3.Pos4,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row3.Pos5,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row4,"","actuator","boolean","True","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row4.Pos1,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row4.Pos2,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row4.Pos3,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row4.Pos4,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Cooler.Row4.Pos5,"","actuator","boolean","False","","","","Cooler switch for Seat heater","","","",
Vehicle.Cabin.Seat.Switch.Forward,"","actuator","boolean","True","","","","Seat forward switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.Forward.Row1,"","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row1.Pos1,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row1.Pos2,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row1.Pos3,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row1.Pos4,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row1.Pos5,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row2,"","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row2.Pos1,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row2.Pos2,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row2.Pos3,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row2.Pos4,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row2.Pos5,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row3,"","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row3.Pos1,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row3.Pos2,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row3.Pos3,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row3.Pos4,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row3.Pos5,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row4,"","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row4.Pos1,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row4.Pos2,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row4.Pos3,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row4.Pos4,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Forward.Row4.Pos5,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward,"","actuator","boolean","True","","","","Seat forward switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.Backward.Row1,"","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row1.Pos1,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row1.Pos2,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row1.Pos3,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row1.Pos4,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row1.Pos5,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row2,"","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row2.Pos1,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row2.Pos2,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row2.Pos3,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row2.Pos4,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row2.Pos5,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row3,"","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row3.Pos1,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row3.Pos2,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row3.Pos3,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row3.Pos4,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row3.Pos5,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row4,"","actuator","boolean","True","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row4.Pos1,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row4.Pos2,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row4.Pos3,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row4.Pos4,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Backward.Row4.Pos5,"","actuator","boolean","False","","","","Seat forward switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up,"","actuator","boolean","True","","","","Seat up switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.Up.Row1,"","actuator","boolean","True","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row1.Pos1,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row1.Pos2,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row1.Pos3,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row1.Pos4,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row1.Pos5,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row2,"","actuator","boolean","True","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row2.Pos1,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row2.Pos2,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row2.Pos3,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row2.Pos4,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row2.Pos5,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row3,"","actuator","boolean","True","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row3.Pos1,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row3.Pos2,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row3.Pos3,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row3.Pos4,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row3.Pos5,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row4,"","actuator","boolean","True","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row4.Pos1,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row4.Pos2,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row4.Pos3,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row4.Pos4,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Up.Row4.Pos5,"","actuator","boolean","False","","","","Seat up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down,"","actuator","boolean","True","","","","Seat down switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.Down.Row1,"","actuator","boolean","True","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row1.Pos1,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row1.Pos2,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row1.Pos3,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row1.Pos4,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row1.Pos5,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row2,"","actuator","boolean","True","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row2.Pos1,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row2.Pos2,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row2.Pos3,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row2.Pos4,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row2.Pos5,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row3,"","actuator","boolean","True","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row3.Pos1,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row3.Pos2,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row3.Pos3,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row3.Pos4,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row3.Pos5,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row4,"","actuator","boolean","True","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row4.Pos1,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row4.Pos2,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row4.Pos3,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row4.Pos4,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Down.Row4.Pos5,"","actuator","boolean","False","","","","Seat down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint,"","branch","","False","","","","Head restraint switches","","",""
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up,"","actuator","boolean","True","","","","Head restraint up switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row1,"","actuator","boolean","True","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row1.Pos1,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row1.Pos2,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row1.Pos3,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row1.Pos4,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row1.Pos5,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row2,"","actuator","boolean","True","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row2.Pos1,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row2.Pos2,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row2.Pos3,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row2.Pos4,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row2.Pos5,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row3,"","actuator","boolean","True","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row3.Pos1,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row3.Pos2,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row3.Pos3,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row3.Pos4,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row3.Pos5,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row4,"","actuator","boolean","True","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row4.Pos1,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row4.Pos2,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row4.Pos3,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row4.Pos4,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Up.Row4.Pos5,"","actuator","boolean","False","","","","Head restraint up switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down,"","actuator","boolean","True","","","","Head restraint down switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row1,"","actuator","boolean","True","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row1.Pos1,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row1.Pos2,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row1.Pos3,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row1.Pos4,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row1.Pos5,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row2,"","actuator","boolean","True","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row2.Pos1,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row2.Pos2,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row2.Pos3,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row2.Pos4,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row2.Pos5,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row3,"","actuator","boolean","True","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row3.Pos1,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row3.Pos2,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row3.Pos3,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row3.Pos4,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row3.Pos5,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row4,"","actuator","boolean","True","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row4.Pos1,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row4.Pos2,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row4.Pos3,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row4.Pos4,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.HeadRestraint.Down.Row4.Pos5,"","actuator","boolean","False","","","","Head restraint down switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage,"","branch","","False","","","","Massage switches","","",""
Vehicle.Cabin.Seat.Switch.Massage.Increase,"","actuator","boolean","True","","","","Increase massage level switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row1,"","actuator","boolean","True","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row1.Pos1,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row1.Pos2,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row1.Pos3,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row1.Pos4,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row1.Pos5,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row2,"","actuator","boolean","True","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row2.Pos1,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row2.Pos2,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row2.Pos3,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row2.Pos4,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row2.Pos5,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row3,"","actuator","boolean","True","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row3.Pos1,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row3.Pos2,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row3.Pos3,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row3.Pos4,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row3.Pos5,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row4,"","actuator","boolean","True","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row4.Pos1,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row4.Pos2,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row4.Pos3,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row4.Pos4,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Increase.Row4.Pos5,"","actuator","boolean","False","","","","Increase massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease,"","actuator","boolean","True","","","","Decrease massage level switch engaged","","","",[['Row[1,4]', 'Pos[1,5]']]
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row1,"","actuator","boolean","True","","","","Decrease massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row1.Pos1,"","actuator","boolean","False","","","","Decrease massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row1.Pos2,"","actuator","boolean","False","","","","Decrease massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row1.Pos3,"","actuator","boolean","False","","","","Decrease massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row1.Pos4,"","actuator","boolean","False","","","","Decrease massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row1.Pos5,"","actuator","boolean","False","","","","Decrease massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row2,"","actuator","boolean","True","","","","Decrease massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row2.Pos1,"","actuator","boolean","False","","","","Decrease massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row2.Pos2,"","actuator","boolean","False","","","","Decrease massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row2.Pos3,"","actuator","boolean","False","","","","Decrease massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row2.Pos4,"","actuator","boolean","False","","","","Decrease massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row2.Pos5,"","actuator","boolean","False","","","","Decrease massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row3,"","actuator","boolean","True","","","","Decrease massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row3.Pos1,"","actuator","boolean","False","","","","Decrease massage level switch engaged","","","",
Vehicle.Cabin.Seat.Switch.Massage.Decrease.Row3.Pos2,"","actuator","boolean","False","","","","Decrease massage level switch engaged","","","",
